icd_code,icd_chapter
9832,(S00-T88)
9854,(S00-T88)
9938,(S00-T88)
99700,(S00-T88)
99749,(S00-T88)
99771,(S00-T88)
99812,(S00-T88)
99980,(S00-T88)
9999,(S00-T88)
E0170,(V00-Y99)
E0066,(V00-Y99)
E0094,(V00-Y99)
E8108,(V00-Y99)
E8182,(V00-Y99)
E8289,(V00-Y99)
E8339,(V00-Y99)
E8369,(V00-Y99)
E8387,(V00-Y99)
E8499,(V00-Y99)
E8762,(V00-Y99)
E8839,(V00-Y99)
E8841,(V00-Y99)
E8901,(V00-Y99)
E8910,(V00-Y99)
E9052,(V00-Y99)
E9242,(V00-Y99)
E9360,(V00-Y99)
E9379,(V00-Y99)
E9497,(V00-Y99)
E9920,(V00-Y99)
E9943,(V00-Y99)
E9989,(V00-Y99)
V031,(Z00-Z99)
V093,(Z00-Z99)
V0950,(Z00-Z99)
V1260,(Z00-Z99)
V1301,(Z00-Z99)
V153,(Z00-Z99)
V1851,(Z00-Z99)
V192,(Z00-Z99)
V2540,(Z00-Z99)
V351,(Z00-Z99)
V392,(Z00-Z99)
V410,(Z00-Z99)
V480,(Z00-Z99)
V486,(Z00-Z99)
V536,(Z00-Z99)
V5390,(Z00-Z99)
V5413,(Z00-Z99)
V5632,(Z00-Z99)
V624,(Z00-Z99)
V626,(Z00-Z99)
V6401,(Z00-Z99)
V658,(Z00-Z99)
V7283,(Z00-Z99)
V763,(Z00-Z99)
0053,(A00-B99)
0073,(A00-B99)
0091,(A00-B99)
01083,(A00-B99)
01134,(A00-B99)
01391,(A00-B99)
01402,(A00-B99)
01406,(A00-B99)
01480,(A00-B99)
01502,(A00-B99)
01516,(A00-B99)
01571,(A00-B99)
01724,(A00-B99)
01743,(A00-B99)
01762,(A00-B99)
01804,(A00-B99)
0212,(A00-B99)
0303,(A00-B99)
0310,(A00-B99)
05311,(A00-B99)
0548,(A00-B99)
0568,(A00-B99)
0653,(A00-B99)
0706,(A00-B99)
0737,(A00-B99)
07952,(A00-B99)
0823,(A00-B99)
0851,(A00-B99)
0929,(A00-B99)
09833,(A00-B99)
09843,(A00-B99)
1175,(A00-B99)
1269,(A00-B99)
1278,(A00-B99)
1340,(A00-B99)
1364,(A00-B99)
1365,(A00-B99)
1453,(C00-D49)
1552,(C00-D49)
1618,(C00-D49)
1642,(C00-D49)
1715,(C00-D49)
1723,(C00-D49)
17329,(C00-D49)
17380,(C00-D49)
1740,(C00-D49)
1906,(C00-D49)
1908,(C00-D49)
1915,(C00-D49)
20055,(C00-D49)
20601,(C00-D49)
20950,(C00-D49)
2105,(C00-D49)
2279,(C00-D49)
2281,(C00-D49)
2309,(C00-D49)
23873,(C00-D49)
23877,(C00-D49)
25061,(E00-E89)
25072,(E00-E89)
2680,(E00-E89)
2728,(E00-E89)
2734,(E00-E89)
27785,(E00-E89)
27919,(E00-E89)
2813,(D50-D89)
29281,(F01-F99)
29525,(F01-F99)
3004,(F01-F99)
3017,(F01-F99)
30303,(F01-F99)
30422,(F01-F99)
30462,(F01-F99)
30581,(F01-F99)
3060,(F01-F99)
30741,(F01-F99)
30929,(F01-F99)
319,(F01-F99)
3249,(G00-G99)
32722,(G00-G99)
3312,(G00-G99)
3331,(G00-G99)
3334,(G00-G99)
33812,(G00-G99)
34200,(G00-G99)
34931,(G00-G99)
3538,(G00-G99)
3559,(G00-G99)
